bin,mean_pred,mean_actual,count,class
0.0-0.1,0.0907725745161687,0.041666666666666664,24,Away
0.1-0.2,0.14673909519096093,0.12949640287769784,278,Away
0.2-0.3,0.2535398826685626,0.27927927927927926,222,Away
0.3-0.4,0.3423629491805762,0.3355263157894737,152,Away
0.4-0.5,0.4509524318882251,0.5100671140939598,149,Away
0.5-0.6,0.5422608670413135,0.6078431372549019,102,Away
0.6-0.7,0.6386246804327961,0.7446808510638298,47,Away
0.7-0.8,0.7044462402753668,1.0,1,Away
0.8-0.9,0.8500000000000001,,0,Away
0.9-1.0,0.95,,0,Away
