class,bin,predicted,actual,count,gap
Home,0.0-0.1,0.031413104031022404,0.15384615384615385,52,0.12243304981513145
Home,0.1-0.2,0.173288551635981,0.1518987341772152,79,0.02138981745876581
Home,0.2-0.3,0.26952370563695177,0.23943661971830985,142,0.030087085918641926
Home,0.3-0.4,0.359361755541978,0.3388888888888889,180,0.020472866653089117
Home,0.4-0.5,0.45092861171696813,0.40625,192,0.04467861171696813
Home,0.5-0.6,0.5451958934369383,0.5405405405405406,37,0.004655352896397735
Home,0.6-0.7,0.6538375166800167,0.5604395604395604,91,0.09339795624045621
Home,0.7-0.8,0.7437306939968493,0.6708074534161491,161,0.07292324058070021
Home,0.8-0.9,0.8535336164229272,0.7352941176470589,34,0.11823949877586837
Home,0.9-1.0,0.9726989079563182,1.0,1,0.027301092043681807
Draw,0.0-0.1,0.021510588135633786,0.2222222222222222,9,0.20071163408658843
Draw,0.1-0.2,0.15972640095365756,0.20270270270270271,296,0.042976301749045154
Draw,0.2-0.3,0.2785451168523209,0.2804232804232804,378,0.0018781635709594902
Draw,0.3-0.4,0.31368878342522566,0.26855123674911663,283,0.04513754667610903
Draw,0.4-0.5,0.4362166485843067,0.3333333333333333,9,0.10288331525097338
Draw,0.5-0.6,0.55,,0,
Draw,0.6-0.7,0.6500000000000001,,0,
Draw,0.7-0.8,0.75,,0,
Draw,0.8-0.9,0.8500000000000001,,0,
Draw,0.9-1.0,0.95,,0,
Away,0.0-0.1,0.06564975515993349,0.06930693069306931,101,0.0036571755331358258
Away,0.1-0.2,0.10810948493681152,0.15639810426540285,211,0.048288619328591326
Away,0.2-0.3,0.24303807229158994,0.2731707317073171,205,0.030132659415727153
Away,0.3-0.4,0.34584010028519063,0.35789473684210527,190,0.012054636556914633
Away,0.4-0.5,0.43275862133374154,0.5238095238095238,147,0.09105090247578229
Away,0.5-0.6,0.5382605187382664,0.660377358490566,53,0.12211683975229959
Away,0.6-0.7,0.6796620667028036,0.5625,16,0.1171620667028036
Away,0.7-0.8,0.7858290434797992,0.6842105263157895,38,0.10161851716400971
Away,0.8-0.9,0.8157064272057257,0.9285714285714286,14,0.11286500136570288
Away,0.9-1.0,0.95,,0,
