date,league,home_team,away_team,home_goals,away_goals,odds_1,odds_x,odds_2,home_goals_for_avg_5,home_goals_against_avg_5,home_points_avg_5,home_form_points_5,home_matches_count,away_goals_for_avg_5,away_goals_against_avg_5,away_points_avg_5,away_form_points_5,away_matches_count
2023-08-11,E0,Burnley,Man City,0,3,8.0,5.5,1.33,,,,,0,,,,,0
2023-08-12,E0,Arsenal,Nott'm Forest,2,1,1.18,7.0,15.0,,,,,0,,,,,0
2023-08-12,E0,Bournemouth,West Ham,1,1,2.7,3.4,2.55,,,,,0,,,,,0
2023-08-12,E0,Brighton,Luton,4,1,1.33,5.5,9.0,,,,,0,,,,,0
2023-08-12,E0,Everton,Fulham,0,1,2.2,3.4,3.3,,,,,0,,,,,0
2023-08-12,E0,Sheffield United,Crystal Palace,0,1,3.0,3.3,2.38,,,,,0,,,,,0
2023-08-12,E0,Newcastle,Aston Villa,5,1,1.75,3.75,4.6,,,,,0,,,,,0
2023-08-13,E0,Brentford,Tottenham,2,2,2.75,3.4,2.45,,,,,0,,,,,0
2023-08-13,E0,Chelsea,Liverpool,1,1,2.9,3.4,2.38,,,,,0,,,,,0
2023-08-14,E0,Man United,Wolves,1,0,1.33,5.5,9.0,,,,,0,,,,,0
2023-08-18,E0,Nott'm Forest,Sheffield United,2,1,1.95,3.4,4.0,1.0,2.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1
2023-08-19,E0,Fulham,Brentford,0,3,2.7,3.3,2.63,1.0,0.0,3.0,3.0,1,2.0,2.0,1.0,1.0,1
2023-08-19,E0,Liverpool,Bournemouth,3,1,1.2,7.0,13.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1
2023-08-19,E0,Wolves,Brighton,1,4,4.0,3.8,1.85,0.0,1.0,0.0,0.0,1,4.0,1.0,3.0,3.0,1
2023-08-19,E0,Tottenham,Man United,2,0,2.8,3.6,2.38,2.0,2.0,1.0,1.0,1,1.0,0.0,3.0,3.0,1
2023-08-19,E0,Man City,Newcastle,1,0,1.67,4.0,5.0,3.0,0.0,3.0,3.0,1,5.0,1.0,3.0,3.0,1
2023-08-20,E0,Aston Villa,Everton,4,0,1.7,4.0,4.5,1.0,5.0,0.0,0.0,1,0.0,1.0,0.0,0.0,1
2023-08-20,E0,West Ham,Chelsea,3,1,3.75,3.5,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1
2023-08-21,E0,Crystal Palace,Arsenal,0,1,5.5,4.0,1.6,1.0,0.0,3.0,3.0,1,2.0,1.0,3.0,3.0,1
2023-08-25,E0,Chelsea,Luton,3,0,1.29,5.5,11.0,1.0,2.0,0.5,1.0,2,1.0,4.0,0.0,0.0,1
